match_id,match_seq_num,radiant_win,start_time,duration,avg_mmr,num_mmr,lobby_type,game_mode,avg_rank_tier,num_rank_tier,cluster,radiant_team,dire_team
5774373312,4861542075,True,1609927731,1510,3142.0,3.0,7,22,53,9,131,"123,6,23,12,50","71,11,2,26,95"
5774373218,4861539587,True,1609927724,1337,1397.0,1.0,7,22,19,4,137,"84,101,2,42,50","69,96,114,41,86"
5774372916,4861527139,True,1609927709,453,4084.0,2.0,0,22,46,5,145,"95,17,27,63,128","11,7,42,74,85"
5774372710,4861542073,False,1609927694,1528,861.0,1.0,7,22,22,2,151,"49,42,76,100,85","71,2,74,84,79"
5774372605,4861538743,False,1609927689,1322,1607.0,2.0,7,22,30,6,188,"123,97,81,40,57","6,5,121,47,101"
5774372309,4861540793,True,1609927670,1482,2980.0,1.0,7,22,41,4,154,"2,32,59,22,105","66,14,67,114,11"
5774372304,4861540550,False,1609927640,1337,4029.0,4.0,7,22,72,6,181,"56,102,3,93,87","89,16,11,123,68"
5774372016,4861534245,True,1609927649,990,4507.0,4.0,7,22,80,4,154,"102,32,45,39,110","97,5,126,109,13"
5774371519,4861542158,False,1609927600,1621,2586.0,2.0,7,22,32,4,181,"41,31,128,35,98","47,70,81,62,25"
5774371403,4861535332,False,1609927609,1139,,,7,22,12,3,187,"114,11,42,84,83","101,21,34,75,15"
5774370906,4861536728,False,1609927589,1174,4260.0,3.0,7,22,56,7,151,"13,4,85,20,54","37,38,52,95,11"
5774370904,4861538747,True,1609927584,1402,,,7,22,13,2,182,"74,6,89,84,49","53,11,26,23,41"
5774370611,4861536950,False,1609927529,1228,2665.0,5.0,7,22,47,7,184,"25,56,44,45,16","70,120,74,2,19"
5774370509,4861541630,False,1609927554,1591,2752.0,3.0,7,22,62,6,136,"67,31,69,97,123","19,108,102,63,39"
5774370314,4861540714,True,1609927549,1593,4624.0,6.0,7,3,72,8,227,"13,5,7,114,35","128,98,44,85,110"
5774369200,4861533991,True,1609927469,1034,2114.0,3.0,7,22,34,6,182,"23,44,84,11,26","70,74,87,27,57"
5774369119,4861541930,False,1609927474,1706,3618.0,2.0,7,22,59,5,138,"121,42,22,47,45","87,14,34,81,8"
5774369007,4861533500,False,1609927469,1106,3642.0,4.0,7,22,72,8,185,"87,1,27,17,54","80,2,42,128,21"
5774368700,4861534724,False,1609927454,1240,,,7,22,25,3,131,"1,100,92,109,84","12,5,34,40,104"
5774368514,4861541690,True,1609927429,1761,4179.0,3.0,7,22,63,6,187,"101,93,11,5,28","95,80,2,123,37"
5774368402,4861540038,True,1609927429,1651,,,7,22,21,2,251,"119,109,14,29,84","23,39,105,64,1"
5774368212,4861540880,True,1609927414,1716,3935.0,4.0,7,22,74,5,133,"120,86,83,6,73","71,50,13,37,1"
5774368016,4861542028,True,1609927404,1830,1735.0,1.0,7,22,29,5,188,"107,84,11,54,48","14,126,1,121,39"
5774367817,4861541718,False,1609927395,1762,2214.0,3.0,7,22,35,4,227,"76,23,2,93,35","75,42,21,39,95"
5774367805,4861541724,True,1609927398,1774,4410.0,2.0,7,22,57,6,231,"86,13,42,71,44","54,39,21,16,37"
5774367802,4861542310,True,1609927398,1875,1950.0,1.0,7,22,31,4,183,"50,27,70,61,35","8,13,17,29,85"
5774367801,4861541283,False,1609927398,1766,1366.0,1.0,7,22,21,3,182,"71,22,73,14,41","6,37,114,104,46"
5774367710,4861542644,True,1609927394,1887,3986.0,4.0,7,3,69,8,227,"16,101,21,19,41","3,10,32,87,93"
5774367613,4861538454,False,1609927374,1614,2995.0,1.0,0,4,54,4,181,"80,74,103,29,70","9,54,121,25,96"
5774367306,4861537601,False,1609927369,1466,975.0,2.0,7,22,24,4,188,"54,14,6,37,8","64,10,26,108,114"
5774367305,4861540798,True,1609927369,1800,2484.0,3.0,7,22,41,5,188,"30,4,28,14,54","26,67,83,36,81"
5774367300,4861541658,False,1609927368,1785,3941.0,3.0,7,22,50,5,152,"50,11,128,68,73","9,129,5,62,32"
5774367109,4861539859,True,1609927349,1715,2237.0,3.0,7,22,24,3,155,"21,8,2,20,22","35,129,110,106,73"
5774367010,4861537906,True,1609927349,1560,4415.0,1.0,7,22,71,7,236,"129,114,21,68,62","104,75,42,25,71"
5774367008,4861540390,True,1609927344,1730,2813.0,1.0,7,22,41,8,186,"129,15,84,26,59","74,67,65,128,35"
5774366815,4861539302,True,1609927329,1571,4294.0,3.0,7,22,75,5,186,"42,108,5,34,121","109,31,2,25,22"
5774366814,4861542034,True,1609927324,1887,,,7,22,12,2,184,"11,83,84,44,6","85,14,67,50,34"
5774366706,4861541649,True,1609927328,1874,4239.0,2.0,0,22,48,7,171,"110,68,42,74,29","114,121,75,97,98"
5774366618,4861542630,True,1609927313,1965,,,7,22,22,3,236,"35,4,71,77,120","114,8,86,84,104"
5774366514,4861538041,False,1609927314,1646,3879.0,3.0,7,3,61,9,227,"21,65,42,110,10","86,51,95,26,17"
5774366418,4861537671,False,1609927304,1610,3149.0,3.0,7,22,72,5,191,"110,123,16,83,93","88,8,128,10,129"
5774366310,4861541600,True,1609927269,1811,1988.0,1.0,7,22,24,5,152,"47,11,75,105,5","7,36,114,44,31"
5774366309,4861537219,True,1609927268,1614,,,0,4,12,2,187,"40,6,15,12,108","39,4,41,69,103"
5774366214,4861537307,True,1609927299,1569,2196.0,4.0,7,22,34,5,132,"9,62,74,95,2","14,26,10,39,8"
5774366015,4861540709,True,1609927288,1860,4456.0,2.0,7,22,55,3,151,"10,74,108,27,123","73,2,9,67,71"
5774366013,4861541588,False,1609927284,1892,1830.0,2.0,7,22,32,4,231,"64,41,21,39,48","26,23,45,9,95"
5774366012,4861542335,False,1609927284,1912,3021.0,1.0,7,22,29,3,151,"94,129,31,44,121","23,20,67,123,72"
5774365806,4861537651,True,1609927273,1638,,,0,22,23,2,181,"105,95,101,2,74","10,87,114,107,44"
5774365805,4861538328,False,1609927269,1677,3886.0,1.0,7,22,34,3,156,"7,114,92,53,29","31,5,13,6,28"
5774365702,4861541167,False,1609927264,1902,2676.0,3.0,7,22,35,5,134,"5,28,70,91,74","26,8,114,22,129"
5774365603,4861538790,False,1609927263,1624,,,7,22,43,3,154,"37,9,42,44,39","97,86,27,114,74"
5774365519,4861539837,False,1609927253,1816,,,7,22,46,3,154,"8,11,129,87,30","20,67,84,9,100"
5774365415,4861541132,True,1609927248,1920,3166.0,2.0,7,22,42,7,231,"42,69,62,39,68","25,93,128,29,26"
5774365409,4861538081,False,1609927238,1689,2958.0,1.0,7,22,45,5,188,"62,70,4,14,25","34,77,108,26,87"
5774365314,4861540039,True,1609927244,1840,2665.0,1.0,7,22,42,5,154,"53,74,105,30,1","26,84,95,83,57"
5774365313,4861539700,True,1609927239,1830,3987.0,4.0,7,22,71,6,191,"114,72,5,41,10","110,74,67,62,13"
5774365305,4861536039,True,1609927244,1482,1830.0,1.0,7,22,80,5,156,"13,109,29,91,88","27,93,129,52,9"
5774365301,4861538620,True,1609927229,1730,1887.0,1.0,7,22,14,5,227,"99,83,35,84,9","87,18,123,93,14"
5774365210,4861536617,False,1609927233,1598,,,7,22,16,4,183,"113,84,57,70,27","98,7,48,9,21"
5774365113,4861538285,True,1609927227,1727,1642.0,1.0,0,22,23,2,183,"11,14,85,35,86","93,52,121,56,25"
5774365112,4861532084,False,1609927204,1281,2596.0,1.0,7,22,29,3,225,"41,56,110,22,50","74,84,6,77,97"
5774365008,4861540879,True,1609927220,1919,2318.0,2.0,7,22,32,5,186,"98,73,22,14,6","21,11,39,30,70"
5774364918,4861539642,False,1609927214,1772,1818.0,1.0,7,22,31,7,227,"14,84,50,32,1","25,104,42,11,9"
5774364908,4861539297,False,1609927220,1640,,,7,22,15,2,181,"106,44,91,26,63","11,52,54,84,8"
5774364902,4861540710,True,1609927214,1747,3316.0,2.0,7,22,53,3,156,"113,54,9,121,99","65,35,60,105,31"
5774364900,4861540776,True,1609927213,1909,3645.0,2.0,7,3,51,6,227,"45,75,41,36,64","49,100,72,102,12"
5774364816,4861539830,True,1609927208,1870,3531.0,5.0,7,22,62,8,193,"18,14,74,64,21","45,47,1,107,26"
5774364815,4861541964,False,1609927208,1994,,,7,22,37,3,152,"12,60,27,9,11","25,28,16,104,114"
5774364813,4861540161,True,1609927184,1895,3210.0,1.0,7,22,41,6,172,"30,32,56,99,21","27,95,88,82,16"
5774364716,4861538904,True,1609927208,1789,1612.0,1.0,7,22,25,3,155,"114,84,81,18,22","41,101,29,94,1"
5774364619,4861539884,True,1609927193,1821,,,0,22,34,2,192,"35,30,84,54,10","8,26,11,42,129"
5774364515,4861541689,False,1609927193,1965,2668.0,3.0,7,22,56,7,154,"22,8,27,129,14","95,26,28,25,107"
5774364501,4861537730,False,1609927183,1696,2374.0,1.0,0,22,41,5,145,"41,83,22,123,111","20,8,42,27,35"
5774364418,4861540011,False,1609927189,1757,1099.0,1.0,7,22,23,4,181,"19,100,50,43,30","94,1,99,31,26"
5774364417,4861537318,False,1609927188,1699,4195.0,3.0,7,22,67,5,155,"102,83,35,100,93","57,8,104,64,13"
5774364415,4861535364,False,1609927188,1557,,,7,22,37,4,134,"9,50,102,76,73","31,95,82,84,110"
5774364318,4861541533,False,1609927178,1988,4417.0,4.0,7,3,63,10,236,"63,17,78,110,28","129,123,12,75,106"
5774364309,4861541759,True,1609927184,2022,3030.0,1.0,7,22,49,5,227,"56,29,114,68,11","64,10,74,60,14"
5774364218,4861540792,True,1609927174,1961,3022.0,2.0,7,22,50,7,188,"14,59,74,109,83","11,75,70,26,8"
5774364215,4861533045,False,1609927169,1389,1720.0,3.0,7,22,42,7,231,"41,90,101,96,56","54,4,27,14,15"
